SKU,Description,Name,DisplayName,Available in SNaP,Pricing Formula,Cost,FranchisePrice,RetailPrice,Series,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
AC-0000001,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,,ACCESSORY,27.7,30.47,91.41,,EA,AC,HAFELE,547.42.231,4,1,0,0,0
AC-0000002,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,,ACCESSORY,28.5,31.35,94.05,,EA,AC,HAFELE,547.42.241,4,1,0,0,0
AC-0000003,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,,ACCESSORY,32.56,35.816,107.448,,EA,AC,HAFELE,547.42.232,4,1,0,0,0
AC-0000004,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,,ACCESSORY,35.48,39.028,117.084,,EA,AC,HAFELE,547.42.242,4,1,0,0,0
AC-0000005,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,,ACCESSORY,23.73,26.103,78.309,,EA,AC,HAFELE,547.42.741,4,1,0,0,0
AC-0000006,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,,ACCESSORY,27.34,30.074,90.222,,EA,AC,HAFELE,547.42.742,4,1,0,0,0
AC-0000007,Hamper Basket Wht 18x14x19,Hamper Basket Wht 18x14x19,Hamper Basket Wht 18x14x19,,ACCESSORY,22.88,25.168,75.504,,EA,AC,HAFELE,547.42.731,4,1,0,0,0
AC-0000008,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,,ACCESSORY,26.93,29.623,88.869,,EA,AC,HAFELE,547.42.732,4,1,0,0,0
AC-0000010,Hamper Brake Flap Left,Hamper Brake Flap Left,Hamper Brake Flap Left,,ACCESSORY,3.35,3.685,11.055,,EA,AC,HAFELE,365.86.713,4,1,0,0,0
AC-0000011,Hamper Brake Flap Right,Hamper Brake Flap Right,Hamper Brake Flap Right,,ACCESSORY,3.35,3.685,11.055,,EA,AC,HAFELE,365.86.704,4,1,0,0,0
AC-0000012,Hamper Rack Chrome 214 MM,Hamper Rack Chrome 214 MM,Hamper Rack Chrome 214 MM,,ACCESSORY,1.07,1.177,3.531,,EA,AC,HAFELE,547.42.990,4,1,0,0,0
AC-0000014,Hamper Rack White 214 (New),Hamper Rack White 214 (New),Hamper Rack White 214,,ACCESSORY,0.91,1.001,3.003,,EA,AC,HAFELE,547.42.991,4,1,0,0,0
AC-0000015,"CLOTH LAUNDRY BAG 24"" CREAM","CLOTH LAUNDRY BAG 24"" CREAM",CLOTH LAUNDRY BAG 24in CREAM,,ACCESSORY,13.7,15.07,45.21,,EA,AC,HAFELE,547.42.488,4,1,0,0,0
AC-0000016,"CLOTH LAUNDRY BAG 18"" CREAM","CLOTH LAUNDRY BAG 18"" CREAM",CLOTH LAUNDRY BAG 18in CREAM,,ACCESSORY,12.11,13.321,39.963,,EA,AC,HAFELE,547.42.486,4,1,0,0,0
AC-0000025,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,,HANDLE,0.98,1.078,4.312,,EA,AC,HAFELE,155.99.029,4,1,0,0,0
AC-0000027,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,,HANDLE,1.64,1.804,7.216,,EA,AC,HAFELE,133.79.051,4,1,0,0,0
AC-0000030,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,,HANDLE,0.984,1.082,4.33,,EA,AC,HAFELE,120.61.350,$4.00 ,$1.00 ,0,0,0
AC-0000033,KN NICKEL MATT 134.45.600,KN NICKEL MATT 134.45.600,KN NICKEL MATT 134.45.600,,HANDLE,0.832,0.915,3.661,,EA,AC,HAFELE,134.45.600,$4.00 ,$1.00 ,0,0,0
AC-0000041,KN POL CHM MUSH 155.99.030,KN POL CHM MUSH 155.99.030,KN POL CHM MUSH 155.99.030,,HANDLE,0.63,0.693,2.772,,EA,AC,HAFELE,155.99.030,$4.00 ,$1.00 ,0,0,0
AC-0000042,KN SAT BNZ CPR 155.01.818,KN SAT BNZ CPR 155.01.818,KN SAT BNZ CPR 155.01.818,,HANDLE,0.83,0.913,3.652,,EA,AC,HAFELE,155.01.818,$4.00 ,$1.00 ,0,0,0
AC-0000046,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,KN SMOKED CHR 134.45.308,,HANDLE,0.832,0.915,3.661,,EA,AC,HAFELE,134.45.308,$4.00 ,$1.00 ,0,0,0
AC-0000049,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,KN STAINLESS MUSH 134.06.441,,HANDLE,0.65,0.715,2.86,,EA,AC,HAFELE,134.06.441,$4.00 ,$1.00 ,0,0,0
AC-0000050,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,KN NI MATT MUSH 134.06.641,,HANDLE,0.63,0.693,2.772,,EA,AC,HAFELE,134.06.641,$4.00 ,$1.00 ,0,0,0
AC-0000051,KN BLACK MATT MUSH 155.99.028,KN BLACK MATT MUSH 155.99.028,KN BLACK MATT MUSH 155.99.028,,HANDLE,0.63,0.693,2.772,,EA,AC,HAFELE,155.99.028,$4.00 ,$1.00 ,0,0,0
AC-0000052,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,KN BLACK ANT 134.33.320,,HANDLE,1.592,1.751,7.005,,EA,AC,HAFELE,134.33.320,$4.00 ,$1.00 ,0,0,0
AC-0000054,PULL M SQ BAR SS 155.00.060,PULL M SQ BAR SS 155.00.060,PULL M SQ BAR SS 155.00.060,,HANDLE,1.46,1.606,6.424,,EA,AC,HAFELE,155.00.060,$4.00 ,$1.00 ,0,0,0
AC-0000055,PULL M SQ BAR SS 155.00.061,PULL M SQ BAR SS 155.00.061,PULL M SQ BAR SS 155.00.061,,HANDLE,1.904,2.094,8.378,,EA,AC,HAFELE,155.00.061,$4.00 ,$1.00 ,0,0,0
AC-0000056,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,PULL M SS CRES 128M 117.95.630,,HANDLE,3.52,3.872,15.488,,EA,AC,HAFELE,117.95.630,$4.00 ,$1.00 ,0,0,0
AC-0000056,PULL M SS CRES 128M 117.95.630,PULL SS LOOK 117.95.630,PULL SS LOOK 117.95.630,,HANDLE,3.72,4.092,16.368,,EA,AC,HAFELE,117.95.630,4,1,0,0,0
AC-0000058,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,PULL M SS SQ CRES 104.08.000,,HANDLE,1.68,1.848,7.392,,EA,AC,HAFELE,104.08.000,$4.00 ,$1.00 ,0,0,0
AC-0000059,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,PULL M ANT BLK 121.90.302,,HANDLE,1.94,2.134,8.536,,EA,AC,HAFELE,121.90.302,$4.00 ,$1.00 ,0,0,0
AC-0000061,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,PUL M BRUS CHRO 96M 116.07.429,,HANDLE,0.424,0.466,1.866,,EA,AC,HAFELE,116.07.429,$4.00 ,$1.00 ,0,0,0
AC-0000063,PULL M BLACK MATT 102.47.319,PULL M BLACK MATT 102.47.319,PULL M BLACK MATT 102.47.319,,HANDLE,4.23,4.653,18.612,,EA,AC,HAFELE,102.47.319,$4.00 ,$1.00 ,0,0,0
AC-0000063,PULL M BLACK MATT 102.47.319,PULL MATT BLK 102.47.319,PULL MATT BLK 102.47.319,,HANDLE,4.23,4.653,18.612,,EA,AC,HAFELE,102.47.319,4,1,0,0,0
AC-0000064,PULL M BK MAT CRES 117.31.320,PULL M BK MAT CRES 117.31.320,PULL M BK MAT CRES 117.31.320,,HANDLE,0.82,0.902,3.608,,EA,AC,HAFELE,117.31.320,$4.00 ,$1.00 ,0,0,0
AC-0000066,PULL M NI MAT CRES 117.31.628,PULL M NI MAT CRES 117.31.628,PULL M NI MAT CRES 117.31.628,,HANDLE,0.74,0.814,3.256,,EA,AC,HAFELE,117.31.628,$4.00 ,$1.00 ,0,0,0
AC-0000067,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,PULL S NI MATT CRES 117.31.638,,HANDLE,1.54,1.694,6.776,,EA,AC,HAFELE,117.31.638,4,1,0,0,0
AC-0000068,PULL M POL CH CRES 155.99.018,PULL M POL CH CRES 155.99.018,PULL M POL CH CRES 155.99.018,,HANDLE,1.54,1.694,6.776,,EA,AC,HAFELE,155.99.018,4,1,0,0,0
AC-0000069,PULL S POL CHM CRES 155.99.023,PULL S POL CHM CRES 155.99.023,PULL S POL CHM CRES 155.99.023,,HANDLE,1.5,1.65,6.6,,EA,AC,HAFELE,155.99.023,4,1,0,0,0
AC-0000071,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,PULL M POLIS CROME 121.88.260,,HANDLE,3.504,3.854,15.418,,EA,AC,HAFELE,121.88.260,4,1,0,0,0
AC-0000080,PULL M BR NIC MATT 121.88.662,PULL M BR NIC MATT 121.88.662,PULL M BR NIC MATT 121.88.662,,HANDLE,4.33,4.763,19.052,,EA,AC,HAFELE,121.88.662,4,1,0,0,0
AC-0000083,PULL M WIRE PC 116.09.288,PULL M WIRE PC 116.09.288,PULL M WIRE PC 116.09.288,,HANDLE,1.3,1.43,5.72,,EA,AC,HAFELE,116.09.288,4,1,0,0,0
AC-0000084,PULL M POL CHROME 155.00.931,PULL M POL CHROME 155.00.931,PULL M POL CHROME 155.00.931,,HANDLE,1.3,1.43,5.72,,EA,AC,HAFELE,155.00.931,4,1,0,0,0
AC-0000085,PULL S MATT CH CRES 117.31.418,PULL S MATT CH CRES 117.31.418,PULL S MATT CH CRES 117.31.418,,HANDLE,1.54,1.694,6.776,,EA,AC,HAFELE,117.31.418,4,1,0,0,0
AC-0000086,PULL MATT CHM CRES 117.31.408,PULL MATT CHM CRES 117.31.408,PULL MATT CHM CRES 117.31.408,,HANDLE,1.33,1.463,5.852,,EA,AC,HAFELE,117.31.408,4,1,0,0,0
AC-0000090,PULL WIRE S ORB 116.07.323,PULL WIRE S ORB 116.07.323,PULL WIRE S ORB 116.07.323,,HANDLE,1.3,1.43,5.72,,EA,AC,HAFELE,116.07.323,4,1,0,0,0
AC-0000091,PULL S WIRE NI MATT 116.07.621,PULL S WIRE NI MATT 116.07.621,PULL S WIRE NI MATT 116.07.621,,HANDLE,0.43,0.473,1.892,,EA,AC,HAFELE,116.07.621,4,1,0,0,0
AC-0000092,PULL WIRE SC 116.07.118,PULL WIRE SC 116.07.118,PULL WIRE SC 116.07.118,,HANDLE,0.49,0.539,2.156,,EA,AC,HAFELE,116.07.118,4,1,0,0,0
AC-0000093,PULL M OIL RUB 117.31.323,PULL M OIL RUB 117.31.323,PULL M OIL RUB 117.31.323,,HANDLE,1.728,1.901,7.603,,EA,AC,HAFELE,117.31.323,4,1,0,0,0
AC-0000094,PULL M ORB 128MM 125.67.352,PULL M ORB 128MM 125.67.352,PULL M ORB 128MM 125.67.352,,HANDLE,1.72,1.892,7.568,,EA,AC,HAFELE,125.67.352,4,1,0,0,0
AC-0000095,PULL M OIL RUB BNZ 125.67.351,PULL M OIL RUB BNZ 125.67.351,PULL M OIL RUB BNZ 125.67.351,,HANDLE,1.49,1.639,6.556,,EA,AC,HAFELE,125.67.351,4,1,0,0,0
AC-0000096,PULL M BRSH NI 125.68.051,PULL M BRSH NI 125.68.051,PULL M BRSH NI 125.68.051,,HANDLE,1.74,1.914,7.656,,EA,AC,HAFELE,125.68.051,4,1,0,0,0
AC-0000097,PULL M OIL RUB BNZ 125.68.351,PULL M OIL RUB BNZ 125.68.351,PULL M OIL RUB BNZ 125.68.351,,HANDLE,1.2,1.32,5.28,,EA,AC,HAFELE,125.68.351,4,1,0,0,0
AC-0000098,PULL AMERICANA ORB 125.68.352,PULL AMERICANA ORB 125.68.352,PULL AMERICANA ORB 125.68.352,,HANDLE,2.04,2.244,8.976,,EA,AC,HAFELE,125.68.352,4,1,0,0,0
AC-0000099,PULL BRSH NI 128MM 125.68.052,PULL BRSH NI 128MM 125.68.052,PULL BRSH NI 128MM 125.68.052,,HANDLE,2.34,2.574,10.296,,EA,AC,HAFELE,125.68.052,4,1,0,0,0
AC-0000105,PULL M SS 128MM 102.47.953,PULL M SS 128MM 102.47.953,PULL M SS 128MM 102.47.953,,HANDLE,2.928,3.221,12.883,,EA,AC,HAFELE,102.47.953,4,1,0,0,0
AC-0000105,PULL M SS 128MM 102.47.953,PULL SS LOOK 128MM 102.47.953,PULL SS LOOK 128MM 102.47.953,,HANDLE,3.89,4.279,17.116,,EA,AC,HAFELE,102.47.953,4,1,0,0,0
AC-0000117,PULL NYLON BLACK 116.71.107,PULL NYLON BLACK 116.71.107,PULL NYLON BLACK 116.71.107,,HANDLE,1.1,1.21,4.84,,EA,AC,HAFELE,116.71.107,4,1,0,0,0
AC-0000119,PULL BAR SBC 128MM 155.99.013,PULL BAR SBC 128MM 155.99.013,PULL BAR SBC 128MM 155.99.013,,HANDLE,2.93,3.223,12.892,,EA,AC,HAFELE,155.99.013,4,1,0,0,0
AC-0000120,PULL BAR S SBC 96MM 155.99.004,PULL BAR S SBC 96MM 155.99.004,PULL BAR S SBC 96MM 155.99.004,,HANDLE,2.93,3.223,12.892,,EA,AC,HAFELE,155.99.004,4,1,0,0,0
AC-0000122,PULL BAR S BRSH NI 155.99.000,PULL BAR S BRSH NI 155.99.000,PULL BAR S BRSH NI 155.99.000,,HANDLE,1.06,1.166,4.664,,EA,AC,HAFELE,155.99.000,4,1,0,0,0
AC-0000123,PULL BAR S BRSH NI 155.99.016,PULL BAR S BRSH NI 155.99.016,PULL BAR S BRSH NI 155.99.016,,HANDLE,1.27,1.397,5.588,,EA,AC,HAFELE,155.99.016,4,1,0,0,0
AC-0000126,PULL CARMEL SS 107.18.612,PULL CARMEL SS 107.18.612,PULL CARMEL SS 107.18.612,,HANDLE,1.31,1.441,5.764,,EA,AC,HAFELE,107.18.612,4,1,0,0,0
AC-0000126,PULL CARMEL SS 107.18.612,PULL SS LOOK CARMEL 107.18.612,PULL SS LOOK CARMEL 107.18.612,,HANDLE,1.13,1.243,4.972,,EA,AC,HAFELE,107.18.612,4,1,0,0,0
AC-0000127,PULL CARMEL SS 107.18.613,PULL CARMEL SS 107.18.613,PULL CARMEL SS 107.18.613,,HANDLE,1.31,1.441,5.764,,EA,AC,HAFELE,107.18.613,4,1,0,0,0
AC-0000127,PULL CARMEL SS 107.18.613,PULL SS LOOK CARMEL 107.18.613,PULL SS LOOK CARMEL 107.18.613,,HANDLE,1.66,1.826,7.304,,EA,AC,HAFELE,107.18.613,4,1,0,0,0
AC-0000128,Pull NYLON White 116.71.100,Pull NYLON White 116.71.100,Pull NYLON White 116.71.100,,HANDLE,0.56,0.616,2.464,,EA,AC,HAFELE,116.71.100,4,1,0,0,0
